tmax,tmin,precip,runoff,date
85,30,0,2.3,10/1/1980
81,32,0,2.3,10/2/1980
83,30,0,2.3,10/3/1980
80,32,0,2.3,10/4/1980
80,32,0,2.3,10/5/1980
79,31,0,2.3,10/6/1980
79,29,0,2.2,10/7/1980
78,28,0,2.2,10/8/1980
74,28,0,2.3,10/9/1980
71,26,0,2.3,10/10/1980
64,35,0,2.3,10/11/1980
52,35,14.986,4,10/12/1980
48,26,0,2.9,10/13/1980
38,28,5.08,3.2,10/14/1980
34,26,1.016,3.1,10/15/1980
39,25,1.524,3.2,10/16/1980
49,18,0,3,10/17/1980
58,20,0,2.9,10/18/1980
61,21,0,2.8,10/19/1980
65,22,0,2.7,10/20/1980
60,23,0,2.7,10/21/1980
59,24,0,2.7,10/22/1980
64,22,0,2.6,10/23/1980
60,25,0,2.6,10/24/1980
53,27,7.366,3.3,10/25/1980
44,20,3.048,3.4,10/26/1980
43,29,0,3.1,10/27/1980
51,19,0,2.8,10/28/1980
62,17,0,2.8,10/29/1980
61,18,0,2.7,10/30/1980
61,32,0,2.7,10/31/1980
57,33,0,2.6,11/1/1980
60,24,0,2.6,11/2/1980
68,25,0,2.6,11/3/1980
70,24,0,2.6,11/4/1980
68,25,0,2.6,11/5/1980
62,25,0,2.6,11/6/1980
56,29,4.064,3.2,11/7/1980
53,37,4.318,3.7,11/8/1980
54,33,0,2.9,11/9/1980
49,29,0,2.8,11/10/1980
46,32,8.636,3.4,11/11/1980
38,23,0,3.3,11/12/1980
39,13,0,3,11/13/1980
46,11,0,2.8,11/14/1980
40,25,0,2.9,11/15/1980
39,11,0,2.7,11/16/1980
46,11,0,2.8,11/17/1980
50,14,0,2.7,11/18/1980
48,14,0,2.7,11/19/1980
48,15,0,2.7,11/20/1980
48,17,0,2.7,11/21/1980
45,26,0.508,2.9,11/22/1980
43,25,0,2.9,11/23/1980
36,11,2.032,2.8,11/24/1980
41,10,0,2.7,11/25/1980
50,10,0,2.7,11/26/1980
56,15,0,2.7,11/27/1980
61,18,0,2.8,11/28/1980
50,28,0,2.8,11/29/1980
43,28,14.478,3.1,11/30/1980
37,33,0,3.1,12/1/1980
40,31,0,3.8,12/2/1980
36,27,17.78,5.6,12/3/1980
31,12,44.958,7.6,12/4/1980
31,12,0,4.1,12/5/1980
29,1,0,3.6,12/6/1980
25,12,0,3.3,12/7/1980
29,-2,0,3.1,12/8/1980
35,2,0,3,12/9/1980
39,-1,0,2.9,12/10/1980
40,4,0,2.8,12/11/1980
43,6,0,2.8,12/12/1980
46,9,0,2.8,12/13/1980
46,7,0,2.8,12/14/1980
50,18,0,2.9,12/15/1980
51,17,0,2.9,12/16/1980
53,18,0,3,12/17/1980
43,28,0,3.2,12/18/1980
49,22,0,3.2,12/19/1980
48,21,0,3.2,12/20/1980
42,21,5.588,4,12/21/1980
45,32,1.016,4.5,12/22/1980
48,14,0,3.7,12/23/1980
50,23,0,3.4,12/24/1980
52,33,0,4,12/25/1980
58,25,0,4.2,12/26/1980
53,30,0,4.3,12/27/1980
53,25,0,3.9,12/28/1980
54,19,0,3.6,12/29/1980
53,18,0,3.5,12/30/1980
51,16,0,3.3,12/31/1980
50,15,0,3.1,1/1/1981
51,17,0,3.1,1/2/1981
45,31,0,3.4,1/3/1981
41,30,11.938,3.6,1/4/1981
39,13,0,3.5,1/5/1981
40,13,0,3.2,1/6/1981
46,12,0,3.1,1/7/1981
44,16,0,3,1/8/1981
46,14,0,3,1/9/1981
45,12,0,2.9,1/10/1981
43,13,0,2.8,1/11/1981
44,16,0,2.8,1/12/1981
48,21,0,2.9,1/13/1981
48,17,0,2.9,1/14/1981
48,25,0,2.9,1/15/1981
42,28,2.032,3,1/16/1981
42,29,0.762,3,1/17/1981
51,27,0,3.1,1/18/1981
46,26,0.254,3.1,1/19/1981
50,24,1.016,3.2,1/20/1981
52,33,0,3.8,1/21/1981
52,41,0,4.3,1/22/1981
46,29,5.588,4.4,1/23/1981
34,16,7.62,3.7,1/24/1981
32,6,0,3.4,1/25/1981
40,13,0,3.4,1/26/1981
37,28,71.882,4,1/27/1981
37,27,72.644,4,1/28/1981
29,19,0,3.9,1/29/1981
32,7,3.048,3.9,1/30/1981
30,-2,0,3.9,1/31/1981
30,-2,0,3.7,2/1/1981
35,1,0,3.6,2/2/1981
39,-3,0,3.7,2/3/1981
40,-2,0,3.6,2/4/1981
38,4,0,3.5,2/5/1981
40,4,0,3.4,2/6/1981
40,1,0,3.4,2/7/1981
39,13,0,3.4,2/8/1981
40,28,3.302,3.4,2/9/1981
43,9,0,3.4,2/10/1981
45,29,1.016,3.5,2/11/1981
49,19,0,3.6,2/12/1981
43,26,13.97,6.3,2/13/1981
47,33,12.7,22,2/14/1981
51,24,0,9.6,2/15/1981
55,22,0.762,8.3,2/16/1981
53,23,2.286,9.1,2/17/1981
55,25,0,7.8,2/18/1981
50,30,1.27,9.9,2/19/1981
40,14,1.016,8.7,2/20/1981
44,12,0,7,2/21/1981
54,14,0,6.4,2/22/1981
50,24,0,6.2,2/23/1981
40,22,11.43,6,2/24/1981
33,20,8.89,5.7,2/25/1981
33,3,0,5.2,2/26/1981
39,2,0,5,2/27/1981
42,4,0,4.9,2/28/1981
41,14,0,4.7,3/1/1981
45,22,0,4.6,3/2/1981
50,12,0,4.6,3/3/1981
43,21,1.778,4.7,3/4/1981
38,28,0,4.5,3/5/1981
48,20,0,4.6,3/6/1981
46,23,0,4.5,3/7/1981
50,16,0,4.6,3/8/1981
54,16,0,4.8,3/9/1981
53,18,0,5.1,3/10/1981
51,16,0,5.4,3/11/1981
51,16,0,5.4,3/12/1981
43,27,6.604,5.4,3/13/1981
47,22,0,5.2,3/14/1981
44,21,0,5.2,3/15/1981
43,16,3.048,5.1,3/16/1981
47,5,0,5,3/17/1981
38,20,0.508,4.9,3/18/1981
38,32,11.43,5.3,3/19/1981
34,20,5.08,5,3/20/1981
41,26,6.858,5.2,3/21/1981
45,32,0,5.6,3/22/1981
49,19,0,5.7,3/23/1981
53,12,0,5.9,3/24/1981
48,32,29.464,14,3/25/1981
38,18,14.732,11,3/26/1981
40,25,1.27,8,3/27/1981
56,17,0,8.5,3/28/1981
54,25,2.794,8.6,3/29/1981
43,8,5.842,7.9,3/30/1981
45,16,0,7.4,3/31/1981
42,28,10.16,7.5,4/1/1981
43,19,0.508,7.1,4/2/1981
48,15,0,7,4/3/1981
55,17,0,7.6,4/4/1981
59,21,0,9.8,4/5/1981
56,24,0,12,4/6/1981
52,20,0,12,4/7/1981
53,20,0,12,4/8/1981
53,26,0,14,4/9/1981
49,27,0,14,4/10/1981
48,27,0,12,4/11/1981
57,15,0,12,4/12/1981
61,21,0,14,4/13/1981
66,22,0,16,4/14/1981
61,24,0,17,4/15/1981
60,27,0,19,4/16/1981
62,28,0,20,4/17/1981
58,27,0,19,4/18/1981
49,32,5.842,18,4/19/1981
55,27,0,16,4/20/1981
56,28,0,17,4/21/1981
67,28,0,20,4/22/1981
70,28,0,23,4/23/1981
66,40,0,26,4/24/1981
59,38,0,24,4/25/1981
48,28,6.35,21,4/26/1981
58,22,0,17,4/27/1981
70,28,0,18,4/28/1981
77,29,0,19,4/29/1981
78,33,0,20,4/30/1981
72,30,0,20,5/1/1981
65,44,0,18,5/2/1981
61,22,0,15,5/3/1981
57,21,0,14,5/4/1981
54,25,0,13,5/5/1981
54,19,0,11,5/6/1981
58,19,0,11,5/7/1981
63,24,0,10,5/8/1981
69,27,0,10,5/9/1981
67,25,0,9.6,5/10/1981
67,26,0,9,5/11/1981
78,26,0,8.5,5/12/1981
70,27,0,8.2,5/13/1981
59,35,3.048,9,5/14/1981
50,34,2.032,8.8,5/15/1981
53,25,1.016,8,5/16/1981
58,22,0,7.3,5/17/1981
50,35,32.004,19,5/18/1981
46,33,5.588,13,5/19/1981
51,24,0.508,9.7,5/20/1981
58,27,0,8.5,5/21/1981
62,28,0,7.9,5/22/1981
65,35,0,7.5,5/23/1981
65,42,0,7.3,5/24/1981
61,44,3.81,8.6,5/25/1981
59,38,9.398,10,5/26/1981
67,30,0.508,8.1,5/27/1981
72,30,0,7,5/28/1981
75,35,0,6.6,5/29/1981
72,34,0,6.3,5/30/1981
74,31,0,5.8,5/31/1981
71,29,0,5.5,6/1/1981
66,43,1.778,5.4,6/2/1981
73,31,0,5.1,6/3/1981
80,35,0,4.7,6/4/1981
79,39,0,4.5,6/5/1981
74,38,0,4.3,6/6/1981
67,50,0,4,6/7/1981
65,49,0,4,6/8/1981
69,49,0,3.8,6/9/1981
69,34,0,3.5,6/10/1981
66,30,0,3.4,6/11/1981
58,41,0,3.4,6/12/1981
56,18,0,3.3,6/13/1981
58,23,0,3.2,6/14/1981
75,24,0,3,6/15/1981
74,30,0,2.9,6/16/1981
78,30,0,2.8,6/17/1981
80,34,0,2.6,6/18/1981
-999,-999,0,2.6,6/19/1981
84,36,0,2.6,6/20/1981
85,36,0,2.6,6/21/1981
82,37,0,2.4,6/22/1981
81,35,0,2.3,6/23/1981
