 "GAGE No.    2:  K,I,J Coord. =     1,   36,   54;  STREAM SEGMENT =    19;  REACH =     1 "
 "STREAM SEGMENT    19 IS DIVERTED FROM SEGMENT    16 DIVERSION TYPE IS IPRIOR OF     0 "
     "DATA: Time           Stage       Max.-Rate   Rate-Diverted   Upstream-Flow "
     1.0000000E+00   2.0070000E+03   0.0000000E+00   0.0000000E+00   2.3946624E+03
     2.0000000E+00   2.0070000E+03   0.0000000E+00   0.0000000E+00   4.5310635E+03
     3.0000000E+00   2.0070000E+03   0.0000000E+00   0.0000000E+00   5.4175781E+03
     4.0000000E+00   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.0447705E+03
     5.0000000E+00   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.4958013E+03
     6.0000000E+00   2.0070000E+03   0.0000000E+00   0.0000000E+00   6.4630034E+03
     7.0000000E+00   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.7604785E+03
     8.0000000E+00   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.0811890E+03
     9.0000000E+00   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.3741328E+03
     1.0000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.3887969E+03
     1.1000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.6667563E+03
     1.2000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.8693711E+03
     1.3000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.8475464E+03
     1.4000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.4620386E+03
     1.5000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.2654053E+03
     1.6000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.7093110E+03
     1.7000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   7.9038833E+03
     1.8000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.2896191E+03
     1.9000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   8.6760283E+03
     2.0000000E+01   2.0070000E+03   0.0000000E+00   0.0000000E+00   9.4882783E+03
